"item","f_neg_have_choice","f_expensive","f_makes_life_more_convenient","f_expect_free","f_lasts_a_while","f_can_hold_touch","f_value_with_others","analysis","pair","r","df","p_value","term","Value","Std. Error"
,,,,,,,,"factor score correlations","f_expensive_f_can_hold_touch",-0.15,399,"p=0.003",,,
,,,,,,,,"factor score correlations","f_expensive_f_value_with_others",0.107,399,"p=0.032",,,
,,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_expect_free",0.084,399,"p=0.094",,,
,,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_lasts_a_while",0.13,399,"p=0.009",,,
,,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_can_hold_touch",-0.144,399,"p=0.004",,,
,,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_value_with_others",-0.162,399,"p=0.001",,,
,,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",-0.011,399,"p=0.828",,,
,,,,,,,,"factor score correlations","f_expect_free_f_can_hold_touch",-0.31,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_expect_free_f_value_with_others",0.23,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_lasts_a_while_f_can_hold_touch",0.062,399,"p=0.214",,,
,,,,,,,,"factor score correlations","f_lasts_a_while_f_value_with_others",0.062,399,"p=0.212",,,
,,,,,,,,"factor score correlations","f_can_hold_touch_f_value_with_others",-0.139,399,"p=0.005",,,
,,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.003","f_neg_have_choice",0.329,0.109
,,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expensive",2.283,0.164
,,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.004","f_makes_life_more_convenient",-0.344,0.119
,,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expect_free",0.412,0.118
,,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.118","f_lasts_a_while",0.158,0.101
,,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.017","f_can_hold_touch",-0.249,0.105
,,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.309","f_value_with_others",-0.115,0.113
