"pair","r","df","p_value","analysis"
"expect_free_use_long_period",0.008,399,"p=0.867","person_product_all"
"expect_free_purchase_regularly",0.013,399,"p=0.793","person_product_all"
"expect_free_worthless_alone",0.153,399,"p=0.002","person_product_all"
"expect_free_roughly_the_same_anywhere",0.074,399,"p=0.14","person_product_all"
"too_high_can_hold_touch",-0.126,399,"p=0.012","person_product_all"
"too_high_budget_strain",0.553,399,"p<.001","person_product_all"
"too_high_use_long_period",-0.128,399,"p=0.011","person_product_all"
"too_high_purchase_regularly",-0.158,399,"p=0.001","person_product_all"
"too_high_worthless_alone",0.045,399,"p=0.371","person_product_all"
"too_high_roughly_the_same_anywhere",-0.088,399,"p=0.078","person_product_all"
"can_hold_touch_budget_strain",-0.192,399,"p<.001","person_product_all"
"can_hold_touch_use_long_period",0.009,399,"p=0.858","person_product_all"
"can_hold_touch_purchase_regularly",-0.142,399,"p=0.004","person_product_all"
"can_hold_touch_worthless_alone",-0.113,399,"p=0.024","person_product_all"
"can_hold_touch_roughly_the_same_anywhere",0.052,399,"p=0.297","person_product_all"
"budget_strain_use_long_period",-0.039,399,"p=0.433","person_product_all"
"budget_strain_purchase_regularly",-0.221,399,"p<.001","person_product_all"
"budget_strain_worthless_alone",-0.005,399,"p=0.923","person_product_all"
"budget_strain_roughly_the_same_anywhere",-0.213,399,"p<.001","person_product_all"
"use_long_period_purchase_regularly",0.085,399,"p=0.09","person_product_all"
"use_long_period_worthless_alone",0.162,399,"p=0.001","person_product_all"
"use_long_period_roughly_the_same_anywhere",0.045,399,"p=0.365","person_product_all"
"purchase_regularly_worthless_alone",0.113,399,"p=0.024","person_product_all"
"purchase_regularly_roughly_the_same_anywhere",0.112,399,"p=0.025","person_product_all"
"worthless_alone_roughly_the_same_anywhere",0.169,399,"p<.001","person_product_all"
